iter	Logloss
0	0.6867261174
1	0.6804395866
2	0.6742364692
3	0.6684705553
4	0.6631148283
5	0.6576875531
6	0.6521721735
7	0.6468143585
8	0.6413812118
9	0.6360497218
10	0.6310103052
11	0.6258864981
12	0.6211672597
13	0.6158759996
14	0.6113835903
15	0.6063348545
16	0.6017652353
17	0.5974219742
18	0.5933000291
19	0.5889382694
20	0.5847480231
21	0.5810976052
22	0.5770431248
23	0.5730535375
24	0.5691799517
25	0.5658182785
26	0.56235164
27	0.5586948525
28	0.5551321296
29	0.5513697487
30	0.5478760203
31	0.544344346
32	0.5412738783
33	0.5380484882
34	0.5347691928
35	0.5317647234
36	0.5288082227
37	0.5260713406
38	0.5233261108
39	0.5203849668
40	0.5176921076
41	0.5151426533
42	0.5126264698
43	0.5096028363
44	0.5071285701
45	0.5049987941
46	0.5026406567
47	0.5002578411
48	0.4980975674
49	0.4960290342
50	0.4935788112
51	0.491798799
52	0.4895597087
53	0.4874122725
54	0.4853997599
55	0.4834347367
56	0.4808877398
57	0.4789963586
58	0.4767268073
59	0.4749618538
60	0.4728900802
61	0.4710656245
62	0.4689483705
63	0.4673499907
64	0.4657044424
65	0.464060733
66	0.4624407004
67	0.4607542589
68	0.4592189376
69	0.4578275736
70	0.4565124771
71	0.4549918909
72	0.4537148478
73	0.4525480018
74	0.4511913366
75	0.449873445
76	0.4486009192
77	0.4474844887
78	0.4461951937
79	0.4449669453
80	0.4436628596
81	0.4425033117
82	0.4412425164
83	0.4401396844
84	0.4385309463
85	0.4373502746
86	0.4362709564
87	0.4352700584
88	0.434411127
89	0.4332420508
90	0.4322884733
91	0.4311151904
92	0.4302449113
93	0.429332402
94	0.4283076338
95	0.4269883321
96	0.4258441584
97	0.4249355646
98	0.4240831389
99	0.4229924609
100	0.422145642
101	0.4213903981
102	0.420607242
103	0.4197841546
104	0.4190504414
105	0.4179512351
106	0.4172517189
107	0.4164889973
108	0.4158455943
109	0.41507737
110	0.4144212312
111	0.4132483043
112	0.4126195016
113	0.4116424601
114	0.4107204362
115	0.4096350843
116	0.408938286
117	0.407765611
118	0.4067873836
119	0.4061004605
120	0.4054364422
121	0.4047767589
122	0.404235473
123	0.4033159651
124	0.4025601217
125	0.4015700401
126	0.400682238
127	0.4000748488
128	0.3989789174
129	0.3984000189
130	0.3978933042
131	0.3974294374
132	0.3967570122
133	0.3959334486
134	0.395367934
135	0.3948365215
136	0.394386229
137	0.3935627957
138	0.3930686047
139	0.3924440681
140	0.391900385
141	0.3910574587
142	0.3903929694
143	0.390038471
144	0.3892228885
145	0.3888811364
146	0.3882333018
147	0.3878764455
148	0.3870804295
149	0.386720092
150	0.3860081736
151	0.3854044202
152	0.3847918282
153	0.3844682079
154	0.3836861581
155	0.3832454732
156	0.3824148251
157	0.3816302715
158	0.3813356864
159	0.3809792812
160	0.3806095025
161	0.3802051311
162	0.37991372
163	0.3796679111
164	0.3793057482
165	0.378952125
166	0.3785837871
167	0.3783234482
168	0.37807868
169	0.3777389119
170	0.3771620855
171	0.3769121828
172	0.3765684555
173	0.3763178805
174	0.3760344231
175	0.3754455181
176	0.3750803915
177	0.3748117795
178	0.3744197021
179	0.3740571812
180	0.3734205163
181	0.3725895242
182	0.3723590678
183	0.3721272091
184	0.3717008471
185	0.3709937476
186	0.3705585539
187	0.3703827118
188	0.3698233237
189	0.3693252114
190	0.3690154562
191	0.3687613707
192	0.3685001271
193	0.3679753682
194	0.367715127
195	0.3671792303
196	0.3670169621
197	0.3665291781
198	0.3660728719
199	0.3657491851
